Customer Code,Recency,Frequency,Monetary,Total Quantity,R_Score,F_Score,M_Score,RFM_Score_Sum,RFM_Segment,Cluster_ID,Cluster_Name
T036,36,16,2772.0,165.0,10,1,1,12,New Customers,4,Segment 3
T037,7,37,11130.9,1436.0,10,1,1,12,New Customers,4,Segment 3
T038,387,4,53136.0,4920.0,4,1,1,6,New Customers,4,Segment 3
T039,339,12,14479.2,1884.0,5,1,1,7,New Customers,4,Segment 3
T040,44,5,891.9,45.0,10,1,1,12,New Customers,4,Segment 3
T041,9,4,971.1,74.0,10,1,1,12,New Customers,4,Segment 3
T042,2,13,2869.65,236.0,10,1,1,12,New Customers,4,Segment 3
T043,1,8,1422.75,109.0,10,1,1,12,New Customers,4,Segment 3
T044,23,6,1413.0,162.0,10,1,1,12,New Customers,4,Segment 3
T045,1,83,12813.9,1055.0,10,1,1,12,New Customers,4,Segment 3
T046,173,1,228.0,25.0,8,1,1,10,New Customers,4,Segment 3
T047,13,8,2053.95,211.0,10,1,1,12,New Customers,4,Segment 3
T048,7,10,1973.4,146.0,10,1,1,12,New Customers,4,Segment 3
T049,113,1,64800.0,7200.0,9,1,1,11,New Customers,4,Segment 3
T051,57,4,1962.9,198.0,10,1,1,12,New Customers,4,Segment 3
T053,48,1,140.4,12.0,10,1,1,12,New Customers,4,Segment 3
T054,3,5,2499.8999999999996,191.0,10,1,1,12,New Customers,4,Segment 3
T055,15,1,255.0,20.0,10,1,1,12,New Customers,4,Segment 3
U001,1,498,458506.65,40114.0,10,1,1,12,New Customers,5,Sub-Segment 1
U002,92,13,2600.85,210.0,9,1,1,11,New Customers,4,Segment 3
U003,1,65,80006.1,7280.0,10,1,1,12,New Customers,4,Segment 3
U004,2,598,627648.6,52084.0,10,1,1,12,New Customers,5,Sub-Segment 1
U005,219,15,20613.45,1947.0,7,1,1,9,New Customers,4,Segment 3
U006,15,3,651.9,72.0,10,1,1,12,New Customers,4,Segment 3
U007,16,4,2405.85,172.0,10,1,1,12,New Customers,4,Segment 3
U008,19,3,735.0,50.0,10,1,1,12,New Customers,4,Segment 3
V001,515,3,729.0,36.0,2,1,1,4,Lost Customers,4,Segment 3
V002,1,104,27364.8,2869.0,10,1,1,12,New Customers,4,Segment 3
V003,338,4,551.25,200.0,5,1,1,7,New Customers,4,Segment 3
V004,449,2,511.8,52.0,3,1,1,5,Lost Customers,4,Segment 3
V005,5,34,76747.8,3886.0,10,1,1,12,New Customers,4,Segment 3
V006,197,17,6669.6,472.0,7,1,1,9,New Customers,4,Segment 3
V007,573,1,168.0,80.0,1,1,1,3,Lost Customers,4,Segment 3
V008,216,1,203.4,12.0,7,1,1,9,New Customers,4,Segment 3
W001,16,21,8508.6,576.0,10,1,1,12,New Customers,4,Segment 3
W002,19,92,16467.15,1244.0,10,1,1,12,New Customers,4,Segment 3
W003,278,42,9490.5,666.0,6,1,1,8,New Customers,4,Segment 3
W004,1,52,20375.55,1514.0,10,1,1,12,New Customers,4,Segment 3
W005,51,12,2949.0,292.0,10,1,1,12,New Customers,4,Segment 3
W006,287,25,8421.6,692.0,6,1,1,8,New Customers,4,Segment 3
W007,35,40,43759.05,3649.0,10,1,1,12,New Customers,4,Segment 3
W008,504,12,3872.55,281.0,2,1,1,4,Lost Customers,4,Segment 3
W009,142,15,5635.2,392.0,8,1,1,10,New Customers,4,Segment 3
W010,19,51,11563.800000000001,803.0,10,1,1,12,New Customers,4,Segment 3
W011,9,30,6469.5,460.0,10,1,1,12,New Customers,4,Segment 3
W012,281,7,3612.3,154.0,6,1,1,8,New Customers,4,Segment 3
W013,197,3,3501.3,604.0,7,1,1,9,New Customers,4,Segment 3
W014,5,7,1984.5,156.0,10,1,1,12,New Customers,4,Segment 3
X001,6,88,62911.5,2870.0,10,1,1,12,New Customers,4,Segment 3
X002,1,88,29321.25,1901.0,10,1,1,12,New Customers,4,Segment 3
X003,7,3,999.0,90.0,10,1,1,12,New Customers,4,Segment 3
Y001,14,34,55258.2,4602.0,10,1,1,12,New Customers,4,Segment 3
Y002,399,5,2189.4,304.0,4,1,1,6,New Customers,4,Segment 3
Y004,1,74,140552.1,11864.0,10,1,1,12,New Customers,4,Segment 3
Y005,26,26,7521.6,573.0,10,1,1,12,New Customers,4,Segment 3
Y007,477,9,2572.65,179.0,2,1,1,4,Lost Customers,4,Segment 3
Y008,9,9,13271.4,912.0,10,1,1,12,New Customers,4,Segment 3
Y009,16,5,1298.55,99.0,10,1,1,12,New Customers,4,Segment 3
Y010,1,18,5452.5,322.0,10,1,1,12,New Customers,4,Segment 3
Y011,2,9,3854.7,262.0,10,1,1,12,New Customers,4,Segment 3
Y012,23,7,2037.0,119.0,10,1,1,12,New Customers,4,Segment 3
Y013,12,1,163.65,12.0,10,1,1,12,New Customers,4,Segment 3
Z001,212,28,902881.5,21126.0,7,1,1,9,New Customers,5,Sub-Segment 1
Z002,91,44,801113.85,14205.0,9,1,1,11,New Customers,5,Sub-Segment 1
Z003,133,26,3545.325,1362.0,8,1,1,10,New Customers,4,Segment 3
Z004,2,68,13248.6,969.0,10,1,1,12,New Customers,4,Segment 3
Z005,366,4,1732.8,116.0,4,1,1,6,New Customers,4,Segment 3
Z006,9,65,20241.0,1494.0,10,1,1,12,New Customers,4,Segment 3
Z008,2,36,10849.5,698.0,10,1,1,12,New Customers,4,Segment 3
Z009,273,9,1310.3999999999999,114.0,6,1,1,8,New Customers,4,Segment 3
Z010,36,9,27456.3,2196.0,10,1,1,12,New Customers,4,Segment 3
